,volunteer,seed_density,well_id,position,target_id,cell_num,target_size,cells_to_target,measured_density
217,8,6m,w3,p2,t4,337.8759008613114,2171.9500000000003,0.15556338813568973,6951.3314967860415
218,8,6m,w3,p3,t1,440.21790986411185,3096.3900000000003,0.14217133819193054,8200.183654729108
219,8,6m,w3,p3,t2,529.8281419954513,3801.8200000000006,0.13936171149487647,6831.955922865013
220,8,6m,w3,p3,t3,424.5677998841028,4006.3100000000004,0.10597477476383574,8181.818181818181
221,8,6m,w3,p3,t4,383.1404109589041,3565.8700000000003,0.10744654487093026,8751.147842056933
222,8,6m,w3,p4,t1,428.1517951679661,4013.5700000000006,0.10667605029137801,8374.655647382919
223,8,6m,w3,p4,t2,651.6481550902372,4322.120000000001,0.150770491122467,7750.229568411386
224,8,6m,w3,p4,t3,395.2073702470814,3146.0000000000005,0.1256221774466247,7493.112947658401
225,8,6m,w3,p4,t4,488.7292067770504,3234.3300000000004,0.15110678464382124,6859.504132231405
226,8,6m,w3,p5,t1,429.35186753222314,3770.3600000000006,0.11387556295213801,7226.813590449953
227,8,6m,w3,p5,t2,446.0813787477055,4099.4800000000005,0.10881413709731612,6767.676767676767
228,8,6m,w3,p5,t3,449.3480405845666,3070.9800000000005,0.1463207316832303,7594.123048668503
229,8,6m,w3,p5,t4,431.9517031824724,3011.6900000000005,0.14342502156014475,9054.178145087235
